,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
167,167,10.0,0.9873837232589722,"[(10, 0.9873837)]"
168,168,4.0,0.9823794960975647,"[(4, 0.98237956)]"
169,169,9.0,0.6755850911140442,"[(6, 0.3173069), (9, 0.6755851)]"
170,170,4.0,0.5855221152305603,"[(4, 0.5855221), (7, 0.17776048), (9, 0.22574964)]"
171,171,5.0,0.8355218768119812,"[(5, 0.8355219), (6, 0.14196491), (12, 0.014587435)]"
172,172,0.0,0.9839009642601013,"[(0, 0.983901)]"
173,173,8.0,0.796919584274292,"[(2, 0.11809941), (8, 0.7969196), (9, 0.074584626)]"
174,174,7.0,0.9921538829803467,"[(7, 0.9921539)]"
175,175,0.0,0.9878730773925781,"[(0, 0.9878731)]"
176,176,8.0,0.9896261692047119,"[(8, 0.98962617)]"
177,177,8.0,0.9875500798225403,"[(8, 0.98755014)]"
178,178,12.0,0.9870277643203735,"[(12, 0.98702776)]"
179,179,5.0,0.4429258704185486,"[(5, 0.44292587), (9, 0.25262964), (10, 0.2997052)]"
180,180,1.0,0.5572048425674438,"[(1, 0.55720484), (2, 0.2512536), (7, 0.18353814)]"
181,181,2.0,0.9931825399398804,"[(2, 0.99318254)]"
182,182,7.0,0.9890173077583313,"[(7, 0.9890173)]"
183,183,7.0,0.9909364581108093,"[(7, 0.99093646)]"
